GMC,gem_name,YEAR,AGE_MEAN,Income_MEAN,Moving_Count_MEAN,Lifeevents_Count_MEAN,UniqueMed_Count_MEAN,ZVWKOSTENTOTAAL_MEAN,ZVWKHUISARTS_MEAN,ZVWKHUISARTS_NO_REG_MEAN,ZVWKZIEKENHUIS_MEAN,ZVWKFARMACIE_MEAN,ZVWKOSTENPSYCHO_MEAN
GM0537,Katwijk,2022,40.3549744844141,38906.4682341094,0.0817852120494412,0.17097180075494,4.08238986660688,,,,,,
GM0546,Leiden,2009,37.3688252246798,,0.142232910773244,0.232250438185301,3.72753832237244,1961.9761809513336,132.22852380865942,78.3961688376111,1011.3644055450625,296.99289603424177,293.9870456979964
GM0546,Leiden,2010,37.4389820165772,,0.129675891643814,0.270109283836896,3.7767120962266,1990.9726482062683,134.21568517889025,72.71706704173421,1006.864186101785,300.75797866256994,318.63782203303083
GM0546,Leiden,2011,37.5309613869664,26542.2243885516,0.124308382284837,0.287347356618812,3.82107980693681,1977.7128262749973,150.36128550862836,84.20809991039356,1001.2955426162744,291.494921596252,308.6803965249486
GM0546,Leiden,2012,37.6016580920247,26605.5163720561,0.127927898851836,0.304557960899489,3.77885334130662,1894.3132473020619,145.5872629373805,85.26107304626595,1048.9221813366419,249.5032949078397,235.31508232079932
GM0546,Leiden,2013,37.6598968425314,26805.5245808712,0.124448247185261,0.309485350562948,3.77067247742244,2039.6543332133874,144.97976918032475,84.41534942343364,1110.6500475805099,233.6477287971339,299.66670530124503
GM0546,Leiden,2014,37.7725702114361,28151.7049372873,0.125586807686483,0.319406696581571,3.80963067209311,2038.3426044831556,155.86833654139932,93.26614064819431,1118.3046503757496,234.4850708873133,276.8263871224718
GM0546,Leiden,2015,37.8401806146415,28270.7061325741,0.135100700352154,0.330028093222016,3.81754545569412,2131.0039862693507,154.7059756049747,90.53189588895866,1053.0137796046122,254.14137547684876,251.89424939491064
GM0546,Leiden,2016,37.9319940868087,28972.4014725796,0.142692560895326,0.353623938054484,3.7995723808326,2238.510549535648,163.410622988289,98.1031628587147,1128.8174849367444,246.46488396689668,257.3180251759892
GM0546,Leiden,2017,38.0954674412538,29861.2318005727,0.133905599476072,0.340420389515211,3.81952010540452,2279.3266872031545,167.90377236988886,101.6199491916841,1159.309396272187,242.58744776630388,257.59162569856534
GM0546,Leiden,2018,38.3104198945867,30067.0119421905,0.123874749296475,0.319625616069902,3.81517460954148,2329.3513970124645,174.40331497606144,106.2309560983036,1172.9040706943956,242.26399663020038,286.02996439028135
GM0546,Leiden,2019,38.5359135104204,32099.6932796955,0.118697242434361,0.307680957964791,3.75851240297317,2385.8637060108235,179.90410367642625,109.43225286943553,1199.3271405145595,250.1330602835307,305.29338887790954
GM0546,Leiden,2020,38.8136424893424,33283.4946784978,0.132986574822521,0.326257585342424,3.69181486217488,2231.80019875628,176.331930948142,109.771913745762,1096.28573501857,249.802054676139,306.695887094169
GM0546,Leiden,2021,38.938768209133,34835.8223641058,0.129349517584812,0.310449735449735,3.71474504414567,,,,,,
GM0546,Leiden,2022,38.9970736594667,36187.0659873327,0.122087454889551,0.293311777370837,3.74382036685642,,,,,,
GM0547,Leiderdorp,2009,40.5385952962917,,0.0764416132735825,0.109477426761972,4.06550353584886,2189.4987708753533,134.8040309505452,80.1856897392003,1212.836270371735,344.9111746519597,256.16062910848905
GM0547,Leiderdorp,2010,40.8371214786967,,0.0778590596625372,0.139359629452634,4.09927595349786,2112.896080056769,136.9726760348087,73.14815685337923,1193.0793550471942,339.65447977362857,199.04148304040012
GM0547,Leiderdorp,2011,41.2258453754077,29737.9507606985,0.0796067353901464,0.153417220000734,4.16048494811466,2220.896602740547,153.18468892047053,84.29237845956796,1237.3767260320901,338.32795648965026,248.30479977358684
GM0547,Leiderdorp,2012,41.5946225585409,29988.2789146241,0.074950473255558,0.161163695062,4.13304365818332,2147.833453601797,152.71848724387635,89.37679978681477,1278.5642542974417,292.4569815493096,189.3697736802342
GM0547,Leiderdorp,2013,41.8749578523262,30298.5953040743,0.0695161703842069,0.154451891733509,4.08954116774399,2309.86133996435,146.66021773981402,82.97552775573112,1370.1226466685694,264.6574228398201,224.5952396085125
