WKC,gem_name,WKN,YEAR,AGE_MEAN,Income_MEAN,Moving_Count_MEAN,Lifeevents_Count_MEAN,UniqueMed_Count_MEAN,ZVWKOSTENTOTAAL_MEAN,ZVWKHUISARTS_MEAN,ZVWKHUISARTS_NO_REG_MEAN,ZVWKZIEKENHUIS_MEAN,ZVWKFARMACIE_MEAN,ZVWKOSTENPSYCHO_MEAN
WK191610,Leidschendam-Voorburg,Bovenveen,2014,40.1442544617403,27338.9958762887,0.108070175438596,0.238877192982456,4.15810113519092,2521.3044799065005,142.82214898888893,79.58548522119825,1446.0225956962458,292.7870382216642,325.9698801561581
WK191610,Leidschendam-Voorburg,Bovenveen,2015,40.4019788417012,27450.2260112194,0.115287162162162,0.254504504504505,4.26369719782518,2631.088695217997,146.24352560962586,81.64222414713095,1411.5080829103993,326.82984079375626,309.7823728601557
WK191610,Leidschendam-Voorburg,Bovenveen,2016,40.3321299794948,28132.4509803922,0.10997191011236,0.244943820224719,4.27522550870568,2734.198796645601,153.67475223639426,87.84430066866679,1528.5005466274545,301.07634750926536,293.31730683089626
WK191610,Leidschendam-Voorburg,Bovenveen,2017,40.2942845409986,28607.1032552659,0.116010571706774,0.279593823897621,4.22431077694236,2740.090511911392,158.7523597652205,92.41463307016241,1478.4856065355093,311.48260796794864,293.49090823785275
WK191610,Leidschendam-Voorburg,Bovenveen,2018,40.3436132960632,29009.154462076,0.118817352859906,0.27977341807129,4.19762351469669,2576.637505867027,165.69970771414324,100.38942203362389,1325.694578719504,296.22030299760723,309.8585588832966
WK191610,Leidschendam-Voorburg,Bovenveen,2019,40.2916845084876,30615.171990172,0.120867059953354,0.281657291809576,4.08505209440782,2610.6519000969433,179.53816078059054,110.36044853022432,1324.6271111459273,286.04476476961594,359.0992508692382
WK191610,Leidschendam-Voorburg,Bovenveen,2020,40.415633499802,31960.4246376812,0.119878603945372,0.27396882328597,3.98646549811404,2616.57442126321,178.095944555587,110.025277222063,1288.99649328379,283.029625607317,408.055607316376
WK191610,Leidschendam-Voorburg,Bovenveen,2021,40.4632320375129,33157.5789242911,0.108276722584223,0.27907943990018,3.99638744637616,,,,,,
WK191610,Leidschendam-Voorburg,Bovenveen,2022,40.0604843750921,36326.9369627507,0.169248644461658,0.353472760134263,4.00227884814585,,,,,,
WK053405,Hillegom,Buitengebied,2009,41.3430793281962,,0.0701978302488832,0.106573069559668,3.41712023750619,1945.7890865267811,118.37254492413028,66.69491022653305,1091.4221913217482,229.83503871005223,268.39666594706455
WK055304,Lisse,Buitengebied,2009,41.3430793281962,,0.0701978302488832,0.106573069559668,3.41712023750619,1945.7890865267811,118.37254492413028,66.69491022653305,1091.4221913217482,229.83503871005223,268.39666594706455
WK053405,Hillegom,Buitengebied,2010,41.3980653396059,,0.106089743589744,0.189423076923077,3.45370819195347,1766.8885621844154,122.58126957314482,62.58498762469157,1015.8888198104747,221.3161442168827,170.33760365426733
WK055304,Lisse,Buitengebied,2010,41.3980653396059,,0.106089743589744,0.189423076923077,3.45370819195347,1766.8885621844154,122.58126957314482,62.58498762469157,1015.8888198104747,221.3161442168827,170.33760365426733
WK053405,Hillegom,Buitengebied,2011,41.9900302542204,29821.9890981169,0.0756600128783001,0.155827430779137,3.53203883495146,1954.0643548930243,139.8714791403768,74.49302786858614,1036.0537763364532,241.22140196742652,295.94626408223445
WK055304,Lisse,Buitengebied,2011,41.9900302542204,29821.9890981169,0.0756600128783001,0.155827430779137,3.53203883495146,1954.0643548930243,139.8714791403768,74.49302786858614,1036.0537763364532,241.22140196742652,295.94626408223445
WK053405,Hillegom,Buitengebied,2012,42.5660778498504,30672.5793285056,0.0769724182168056,0.154586273252085,3.55072463768116,1871.4575180145825,137.48628749717759,77.98512562745857,1101.7324518509101,196.31265444697257,203.20090717948366
